URL,name,Comments,comment_star,
https://www vitals com/doctors/Dr_Rahul_Rathod html, Rahul H Rathod ,Doctor Rathod is the man Always professional and keeps it very real This doctor can be reached by email He moved overseas to Mumbai India But hear he's coming back to boston very soon He saved my daughters life My whole family is grateful to him I really hope the talk is real and he comes back ,5,
https://www vitals com/doctors/Dr_Rahul_Rathod html, Rahul H Rathod ,Dr Rathod is such an amazing cardiologist He IS the reason my husband I traveled to Boston from Maryland to deliver our son Dr Rathod has a wonderful bedside manner answers emails/texts so quickly and even has a great sense of humor This coupled with his amazing knowledge and experience make him an absolutely amazing dr Truly the best Ps: I received an email from him today and he is absolutely still practicing at Boston Children's Hospital ,4,
https://www vitals com/doctors/Dr_Rahul_Rathod html, Rahul H Rathod ,This doctor is awesome He's very talented and can help you The big issue with having him as your child's primary cardiologist is that he has a big family of his own and take a TON of time off The upside He's easy to reach by email and always returns calls I haven't seen Doctor Rathod in a few months can someone tell me if he's still in Boston children's ,4,
https://www vitals com/doctors/Dr_Rahul_Rathod html, Rahul H Rathod ,This Doctor was the best of the best He saved my sons life but unfortunately he moves overseas to him home country India I hope he come back and if he does we will be seeing him again To all looking for him he is now part of Childrens hospital Mumbai,4,
https://www vitals com/doctors/Dr_Rahul_Rathod html, Rahul H Rathod ,Absolutely fantastic doctor Will not go to anyone else ,5,
https://www vitals com/doctors/Dr_Rahul_Rathod html, Rahul H Rathod ,Doc Rathod is truly awesome I like the guy a lot he's very smart and he take the time to explain He's also awesome with our daughter The one bad thing about him is he has one day he runs clinic which is a Friday if your new it takes months to get in with him and half the time he's never there because he's away Great doctor but the man is always on vacation ,5,
https://www vitals com/doctors/Dr_Rahul_Rathod html, Rahul H Rathod ,Rahul Rathod  One of a kind Doctor who is excellent in patient care He takes time to explain issues The bad thing about him is hes forever Late at clinic we wait two hrs every time and be ready to take the next inline cardiologist 35 of the time because that man takes more vacations than anyother Doc We know of Hes never here in Febuary because he travels to India ,5,
https://www vitals com/doctors/Dr_Rahul_Rathod html, Rahul H Rathod ,Rahul Rathod is incredible He is young and devoted to cardiology which makes him knowledgeable Two down falls  Hes always late one hour behind the least and he's always traveling The whole month of Feb of 2014 he wont be seeing patients because he will be out of the country My husband and I recommend him He's wonderful and caring ,5,
https://www vitals com/doctors/Dr_Rahul_Rathod html, Rahul H Rathod ,Dr Rathod possesses a prodigious talent  that in addition to his compassionate nature makes him an extraordinary member of this noble profession Thank you so much May the good LORD grant you the strength and the knowledge to keep on doing what you are doing and even better ,5,
https://www vitals com/doctors/Dr_Rahul_Rathod html, Rahul H Rathod ,He is an awesome Doctor he is our hero Not less If you think that you wait too long to see him in Boston you may come to Duke 1 hour appointment is always a 3 hours one or more so for me no complains at all Boston is always our peace of mind place and Dr Rathod is the best we really trust in him ,5,
https://www vitals com/doctors/Dr_Rahul_Rathod html, Rahul H Rathod ,Dr Rathod is our Hero I was nervous about him at forst because hes so young and very handsome may I add but he is an awesome Doctor I wont let Lucas see anyone else The only negative is that he is forever running late at clinic ,1,
https://www vitals com/doctors/Dr_Rahul_Rathod html, Rahul H Rathod ,Dr Rathod is an absolutely incredible Doctor Don't let his age and good looks fool you because he is so smart he waved our little twins and we will always be grateful I will never take my two girls to see anyone else ever He Ian the beat of the best ,5,
https://www vitals com/doctors/Dr_Rahul_Rathod html, Rahul H Rathod ,Dr rathod is a very loving caring sweet cute doctor He is amazing he saved my daughters life and I will forever be gratefull to him He is very handsome and has a way of smiling and flirting with all his patients parents We all love Dr Rahul rathod He is our man God bless you Dr Rathod I love you ,5,
https://www vitals com/doctors/Dr_Rahul_Rathod html, Rahul H Rathod ,Dr Rathod is a wonderful cardiologist his practices in patient care are incredible He has a way of making you feel like you are his only and more important case I won't see anyone else ,5,
https://www vitals com/doctors/Dr_Rahul_Rathod html, Rahul H Rathod ,He is a great doctor saved my son's life and I will be forever grateful ,5,
https://www vitals com/doctors/Dr_Douglas_Burtt html, Douglas M Burtt ,My husband and I have been patients of Dr Burtt and in our opinion he is excellent  he takes time to explain everything I would highly recommend him and his staff Cathy and Lisa Joyce Facteau,5,
https://www vitals com/doctors/Dr_Douglas_Burtt html, Douglas M Burtt ,I had a heart attack 11 years ago Dr Burtt has been taking care of me from that day and I've only gotten stronger He's totally brilliant and so down to earth I will never leave him ,5,
https://www vitals com/doctors/Dr_Douglas_Burtt html, Douglas M Burtt ,I have been a patient of Dr Burtt for 25 years I have always felt confident that he has given me the best of care Linda L ,5,
https://www vitals com/doctors/Dr_Douglas_Burtt html, Douglas M Burtt ,I have been so fortunate to have Dr Burtt as my cardiologist I am extremely picky and a very negative person HOWEVER I can honestly say he is caring concerned and I give him 5 stars in every aspect of his profession even my husband is amazed at how I feel about him ,5,
https://www vitals com/doctors/Dr_Douglas_Burtt html, Douglas M Burtt ,I am so happy my husband has Dr Burtt my daughter in law is a nurse and our physician also recommended him He is the best in his field He is respected by his colleagues and his diagnostic abilities are excellent He is the physician you want if you have had a heart problem Sincerely Mrs Montminy,5,
https://www vitals com/doctors/Dr_Douglas_Burtt html, Douglas M Burtt ,Without Dr Burtt I'd be dead now not 10 plus years with everyone I care about at 74 I'm glad he's on my team ,5,
https://www vitals com/doctors/Dr_Douglas_Burtt html, Douglas M Burtt ,Personal highly professional care After leaving the area for nearly 10 years my mother traveled 6 hours to continue with Dr Burtt She couldn't have been more pleased with the care she received from him and his staff ,5,
https://www vitals com/doctors/Dr_Douglas_Burtt html, Douglas M Burtt ,called to speak with staff Sat on hold for 10 mins and then when a receptionist answered she was rude unhelpful and condescending ,3,
https://www vitals com/doctors/Dr_Douglas_Burtt html, Douglas M Burtt ,Dr Burtt has been my cardiologist for 12yrs and has been great to work with ,5,
https://www vitals com/doctors/Dr_Douglas_Burtt html, Douglas M Burtt ,Dr Burtt is an excellent Doctor He saved me from despair when my former Cardiologist treated me badly and refused to monitor my post surgical medication among other things He has remained with me ever since and has given excellent care  compassion and is a willing listener I am still functioning after 15 years He is a fine and funny man and an excellent physician ,5,
https://www vitals com/doctors/Dr_Douglas_Burtt html, Douglas M Burtt ,Dr Burtt is a wonderful caring doctor He takes the time to sit with you and explain things in a way you can understand them I would highly recommend Dr Burtt and his great staff ,5,
https://www vitals com/doctors/Dr_Peter_Soukas html, Peter A Soukas ,Dr Soukas has a wonderful personality and a wealth of knowledge He is a very warm and caring person and puts his patients at ease immediately as soon as one meets him I have gladly recommended many family/friends to him My husband John spoke so highly of him Through Dr Soukas's expertise my husband's leg pain disappeared ,4,
https://www vitals com/doctors/Dr_Peter_Soukas html, Peter A Soukas ,the care and handling of my procedures were handled in a timely fashion and corrected the issues that I was having Very professional in his work I would recommend this Doctor to anyone Great job Very good personality that puts a patient at ease ,5,
https://www vitals com/doctors/Dr_Peter_Soukas html, Peter A Soukas ,Doctor Soukas Has been My cardioligist since my bypass surgery in 2007 He has been straightforward And has never left Any question Unanswered He makes you feel like Your a family member ,5,
https://www vitals com/doctors/Dr_Peter_Soukas html, Peter A Soukas ,Dr Soukas is caring compassionate makes you feel confident that you're in good hands and explains your whole situation clearly He saved my legs also when others were unsure if they could Found him via Dr Ruocco of Norwood who was also sure St Elizabeth's would be the place to help me I'm more than greatfuland very thankful for all their kindness ,5,
https://www vitals com/doctors/Dr_Peter_Soukas html, Peter A Soukas ,Wonderful Doctor with a wonderful personality that makes you feel confident that you will survive whatever you're in St Elizabeth's for Very caring compassionate etc etc etc Saved my legs never mind I believe my life ,5,
https://www vitals com/doctors/Dr_David_Denmark html, David M Denmark ,The best doctor period ,5,
https://www vitals com/doctors/Dr_David_Denmark html, David M Denmark ,My Father was rushed to SS hospital 2 weeks ago With virtually no time to spare Dr Denmark saved his life My Dad is home now watching the Red Sox thanks to Dr Denmark Additionally the nursing staff and follow up care was excellent My gratitude will be eternal ,5,
https://www vitals com/doctors/Dr_David_Denmark html, David M Denmark ,The best doctor He saved my life He has great bedside manner and spends a lot of time explaining things to me so that I can understand them My highest recommendation ,5,
https://www vitals com/doctors/Dr_David_Denmark html, David M Denmark ,Very knowledgeable and amazing bedside manner Highly highly recommended ,5,
https://www vitals com/doctors/Dr_Daniel_Jurayj html, Daniel H Jurayj ,I felt I was in very good hands / he was also very human ,5,
https://www vitals com/doctors/Dr_Daniel_Jurayj html, Daniel H Jurayj ,He is such a good listener and so caring My problem had lots of different parts and he made sure he understood the story from its beginning ,5,
https://www vitals com/doctors/Dr_Daniel_Jurayj html, Daniel H Jurayj ,This is one doctor appointment that I look forward to and don't try to think of a reason to cancel Dr Jurayj is wonderful compassionate and he really listens to what you have to say He doesn't judge and he is very personable Highly recommended ,5,
https://www vitals com/doctors/Dr_Daniel_Jurayj html, Daniel H Jurayj ,This doctor knows all i tell you he is considerate talented and smart He has every quality you would want in a doctor,5,
https://www vitals com/doctors/Dr_Daniel_Jurayj html, Daniel H Jurayj ,Dr Jurayj is my primary care physician he is always there for me and my Mother I always take his opinions on my health care as well as mother don't know what i would do without him ,5,
https://www vitals com/doctors/Dr_Edward_Walsh html, Edward P Walsh ,Dr Walsh is the best ,5,
https://www vitals com/doctors/Dr_Edward_Walsh html, Edward P Walsh ,Dr Walsh has been treating my daughter for 9 years He is extremely calm and wonderful with kids Dr Walsh always takes his time and is very careful and thorough We highly reccomend him ,5,
https://www vitals com/doctors/Dr_Edward_Walsh html, Edward P Walsh ,Excellent Doctor Dr Walsh fix my son's heart problem Best Doctor in USA ,5,
https://www vitals com/doctors/Dr_Edward_Walsh html, Edward P Walsh ,Dr Walsh is the best ,5,
https://www vitals com/doctors/Dr_Edward_Walsh html, Edward P Walsh ,Dr Walsh has been treating my daughter for 9 years He is extremely calm and wonderful with kids Dr Walsh always takes his time and is very careful and thorough We highly reccomend him ,5,
https://www vitals com/doctors/Dr_Edward_Walsh html, Edward P Walsh ,Excellent Doctor Dr Walsh fix my son's heart problem Best Doctor in USA ,5,
https://www vitals com/doctors/Dr_Laurence_Sloss html, Laurence J Sloss ,Dr Sloss takes the time and professional interest to investigate and follow the patient's health to first achieve the correct diagnosis and then to have the proper treatment ,5,
https://www vitals com/doctors/Dr_Laurence_Sloss html, Laurence J Sloss ,Dr Sloss is without a doubt one of the most amazing people I have met in my life Superb doctor who truly genuinely CARES about his patients  who LISTENS and understands the complex relationships between the physical and psychological I feel privileged and humbled to have known and been under his care  trust him with my life ,5,
https://www vitals com/doctors/Dr_Laurence_Sloss html, Laurence J Sloss ,compassionate hard working dedicated to his patients,5,
https://www vitals com/doctors/Dr_Laurence_Sloss html, Laurence J Sloss ,I've had Dr Sloss as my cardiologist for 20 years now He has been unfailingly loyal always accessible and ever compassionate Did I mention he's brilliant Dr Sloss has saved my life  literally on several occasions when others physicians were unable to understand my rare disorder He's never missed a diagnosis yet I trust him with my life over and over ,5,
https://www vitals com/doctors/Dr_Laurence_Sloss html, Laurence J Sloss ,wonderful ,5,
https://www vitals com/doctors/Dr_Isaac_Pourati html, Isaac Pourati ,Liked him very much,5,
https://www vitals com/doctors/Dr_Gerald_Marx html, Gerald R Marx ,Dr Marx is amazing He is kind knowledgeable fabulous at explaining everything fantastic bed side manner and great with the kiddos WONDERFUL doctor ,5,
https://www vitals com/doctors/Dr_Gerald_Marx html, Gerald R Marx ,Dr Gerald Marx is the most wonderful man and Doctor I could ever imagine My daughter was born with double outlet right ventricle ventricle septal defect complete AV canal defect and pulmonary stenosis He fixed her through the fontan procedures But when she was 7 we were told she had to have another one because her heart wasn't right again So when she was in the O R Dr Marx came out to see my husband and me he told us that they thought they figured out a way to fix her heart without open heart surgery but through a catherization through her leg He told us it had never been done before but he thought it would work So he asked us if he should do it We had no idea what to do So my husband said to him  If she were your daughter what would you do  And he looked at us and sternly said  She IS mine  And walked away to do the procedure And now she is a perfectly healthy 14 year old So I can't say enough good things about this wonderful man But if you have a heart baby I would choose this man for your baby too ,5,
https://www vitals com/doctors/Dr_Gerald_Marx html, Gerald R Marx ,Dr Marx is the reason our baby daughter is alive and well today We are so thankful for his optimism and for his genuine concern for her We wish we lived nearer to him so he could continue to see her now ,5,
https://www vitals com/doctors/Dr_Gerald_Marx html, Gerald R Marx ,he is my sons cardiologist He has a wonderful bedside manner and is very knowledgeable Recommend him to everyone,5,
